Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty
"The domain of f(x) = sqrt(|x| - x) is:","(-infinity, 0]","[0, infinity)","R","R \ {0}","Option A","|x| - x >= 0 is true for all x <= 0 (since |x| = -x => -2x >= 0). For x > 0, |x|-x = 0 >= 0.","Hard"
"The domain of f(x) = log(sin(x)) is:","(2n pi, (2n+1)pi)","[2n pi, (2n+1)pi]","(n pi, (n+1)pi)","R","Option A","sin(x) > 0 in 1st and 2nd quadrants, i.e., x in (2n pi, (2n+1)pi).","Hard"
"The domain of f(x) = cos^(-1)(x/2) is:","[-2, 2]","[-1, 1]","[-1/2, 1/2]","(-2, 2)","Option A","-1 <= x/2 <= 1 => -2 <= x <= 2.","Easy"
"The domain of f(x) = sqrt(x^2 + 4) is:","R","[-2, 2]","[0, infinity)","(0, infinity)","Option A","x^2 + 4 >= 4 > 0 for all real x, so defined for all R.","Easy"
"The range of f(x) = x^2 + 5 is:","[5, infinity)","(5, infinity)","[0, infinity)","R","Option A","Since x^2 >= 0, x^2 + 5 >= 5.","Easy"
"The range of f(x) = sin(x) + cos(x) is:","[-sqrt(2), sqrt(2)]","[-2, 2]","[-1, 1]","[0, sqrt(2)]","Option A","a sin x + b cos x lies in [-sqrt(a^2+b^2), sqrt(a^2+b^2)]. Here sqrt(1+1) = sqrt(2).","Medium"
"The range of f(x) = 1 / (2 + sin(x)) is:","[1/3, 1]","[1/2, 1]","[-1, 1]","(0, 1)","Option A","-1 <= sin(x) <= 1 => 1 <= 2+sin(x) <= 3 => 1/3 <= 1/(2+sin(x)) <= 1.","Medium"
"The range of f(x) = |x| is:","[0, infinity)","(0, infinity)","R","[-1, infinity)","Option A","Absolute value is non-negative, so range is [0, infinity).","Easy"
"The range of f(x) = e^x is:","(0, infinity)","[0, infinity)","R","(1, infinity)","Option A","Exponential function values are strictly positive.","Easy"
"The range of f(x) = tan^(-1)(x) is:","(-pi/2, pi/2)","[-pi/2, pi/2]","(0, pi)","[0, pi]","Option A","Principal value range of arctan is (-pi/2, pi/2).","Easy"
"The range of f(x) = sin^(-1)(x) is:","[-pi/2, pi/2]","(-pi/2, pi/2)","[0, pi]","[-1, 1]","Option A","Principal value range of arcsin is [-pi/2, pi/2].","Easy"
"The range of f(x) = cos^(-1)(x) is:","[0, pi]","[-pi/2, pi/2]","(0, pi)","[-1, 1]","Option A","Principal value range of arccos is [0, pi].","Easy"
"The range of f(x) = x / |x| for x != 0 is:","{-1, 1}","[-1, 1]","R","(0, 1)","Option A","x/|x| = 1 for x > 0 and -1 for x < 0.","Easy"
"The range of f(x) = x^2 / (1 + x^2) is:","[0, 1)","[0, 1]","(0, 1)","[0, infinity)","Option A","0 <= x^2 < 1 + x^2, so 0 <= x^2/(1+x^2) < 1.","Medium"
"The range of f(x) = 3 sin(x) + 4 cos(x) + 7 is:","[2, 12]","[3, 11]","[0, 14]","[7, 12]","Option A","3 sin x + 4 cos x in [-5, 5]. Adding 7 gives [-5+7, 5+7] = [2, 12].","Medium"
"The range of f(x) = [x] - x where [x] is greatest integer function is:","(-1, 0]","[-1, 0]","(0, 1]","[0, 1)","Option A","Since x = [x] + {x}, [x] - x = -{x}. Since 0 <= {x} < 1, -{x} in (-1, 0].","Hard"
"The range of f(x) = 1 / (1 + x^2) is:","(0, 1]","[0, 1]","(0, 1)","[1, infinity)","Option A","x^2 >= 0 => 1+x^2 >= 1 => 0 < 1/(1+x^2) <= 1.","Easy"
"The range of f(x) = log_10(x) is:","R","(0, infinity)","[0, infinity)","(-infinity, 0)","Option A","Logarithmic function takes all real values.","Easy"
"The range of f(x) = 2^(x^2) is:","[1, infinity)","(0, infinity)","(1, infinity)","R","Option A","x^2 >= 0 => 2^(x^2) >= 2^0 = 1.","Medium"
"The range of f(x) = sgn(x) (signum function) is:","{-1, 0, 1}","[-1, 1]","(-1, 1)","R","Option A","Signum function returns -1 for negative, 0 for zero, 1 for positive.","Easy"
"The range of f(x) = cos^2(x) - sin^2(x) is:","[-1, 1]","[0, 1]","[-2, 2]","[0, 2]","Option A","f(x) = cos(2x), whose range is [-1, 1].","Easy"
"The range of f(x) = 1 / sqrt(4 - x^2) is:","[1/2, infinity)","(0, 1/2]","(0, infinity)","[2, infinity)","Option A","0 <= 4-x^2 <= 4 => 0 < sqrt(4-x^2) <= 2 => 1/sqrt(4-x^2) >= 1/2.","Hard"
"The range of f(x) = x^3 is:","R","[0, infinity)","(0, infinity)","[-1, 1]","Option A","Cube function maps R onto R.","Easy"
"The range of f(x) = cos(x/4) + 2 is:","[1, 3]","[2, 3]","[0, 2]","[-1, 1]","Option A","cos(x/4) in [-1, 1], so cos(x/4) + 2 in [1, 3].","Easy"
"If f: R -> R is defined by f(x) = 3x + 5, then f is:","One-one and onto","One-one but not onto","Onto but not one-one","Neither one-one nor onto","Option A","Linear polynomial f(x) = 3x+5 on R is bijective.","Easy"
"If f: R -> R is defined by f(x) = x^2, then f is:","Neither one-one nor onto","One-one and onto","One-one but not onto","Onto but not one-one","Option A","f(-1) = f(1) = 1 (not one-one); negative numbers have no pre-image in R (not onto).","Easy"
"If f: [0, infinity) -> [0, infinity) is defined by f(x) = x^2, then f is:","One-one and onto","Neither one-one nor onto","One-one but not onto","Onto but not one-one","Option A","Restricted to non-negative reals, x^2 is strictly increasing and bijective.","Medium"
"If f: R -> R is defined by f(x) = x^3, then f is:","One-one and onto","One-one but not onto","Onto but not one-one","Neither one-one nor onto","Option A","f(x) = x^3 is strictly increasing on R, range is R, so bijective.","Easy"
"If f: R -> R is defined by f(x) = |x|, then f is:","Neither one-one nor onto","One-one and onto","One-one but not onto","Onto but not one-one","Option A","f(-1) = f(1) = 1 (not one-one); negative numbers not in range (not onto).","Easy"
"If f: R -> R is defined by f(x) = e^x, then f is:","One-one but not onto","One-one and onto","Onto but not one-one","Neither one-one nor onto","Option A","f(x1)=f(x2) => x1=x2 (one-one); range is (0, inf) != R (not onto).","Medium"
"If f: R -> (0, infinity) is defined by f(x) = e^x, then f is:","One-one and onto","One-one but not onto","Onto but not one-one","Neither one-one nor onto","Option A","Codomain matches range (0, inf), so bijective.","Medium"
"If f: R -> R is defined by f(x) = sin(x), then f is:","Neither one-one nor onto","One-one and onto","One-one but not onto","Onto but not one-one","Option A","sin(0) = sin(pi) = 0 (not one-one); range [-1, 1] != R (not onto).","Easy"
"If f: [-pi/2, pi/2] -> [-1, 1] is defined by f(x) = sin(x), then f is:","One-one and onto","Neither one-one nor onto","One-one but not onto","Onto but not one-one","Option A","Restricted domain and codomain make sin(x) bijective.","Medium"
"If f: R -> R is defined by f(x) = x^2 + x + 1, then f is:","Neither one-one nor onto","One-one and onto","One-one but not onto","Onto but not one-one","Option A","Quadratic function is a parabola, not one-one and bounded below.","Medium"
"The number of one-one functions from a set A with 3 elements to a set B with 5 elements is:","60","125","243","15","Option A","P(5, 3) = 5 * 4 * 3 = 60.","Medium"
"The number of bijective functions from a set A with 4 elements to itself is:","24","16","256","12","Option A","Number of bijections on n elements is n! = 4! = 24.","Easy"
"If a set A has 4 elements and set B has 3 elements, the number of one-one functions from A to B is:","0","12","24","64","Option A","Since |A| > |B|, no one-one function can exist (Pigeonhole principle).","Medium"
"If f: R -> R is defined by f(x) = [x] (greatest integer function), then f is:","Neither one-one nor onto","One-one and onto","One-one but not onto","Onto but not one-one","Option A","f(1.1) = f(1.2) = 1 (not one-one); non-integers not in range (not onto).","Easy"
"If f: R -> Z is defined by f(x) = [x], then f is:","Onto but not one-one","One-one and onto","One-one but not onto","Neither one-one nor onto","Option A","f(1.1) = f(1.5) = 1 (not one-one); range is Z = codomain (onto).","Medium"
"If f: R -> R is defined by f(x) = x / (1 + |x|), then f is:","One-one and onto f(R) = (-1, 1)","Neither one-one nor onto","Onto but not one-one","One-one but range is R","Option A","f(x) is strictly increasing and maps R onto (-1, 1).","Hard"
"If f(x) = 2x - 7 is a bijection from A to B, and A = [1, 5], then B is:","[-5, 3]","[-7, 3]","[1, 5]","[-3, 5]","Option A","f(1) = 2(1)-7 = -5, f(5) = 2(5)-7 = 3. Range B = [-5, 3].","Medium"
"If f: R -> R is an even function, then f is:","Not one-one","One-one","Onto","Bijective","Option A","Even function satisfies f(-x) = f(x), so two inputs give same output, hence not one-one.","Easy"
"If f: R -> R is defined by f(x) = x^5 + x, then f is:","One-one and onto","Neither one-one nor onto","One-one but not onto","Onto but not one-one","Option A","f'(x) = 5x^4 + 1 > 0 for all x, so f is strictly increasing (one-one) and maps onto R.","Hard"
"If f: A -> B is a constant function where |A| >= 2, then f is:","Neither one-one nor onto (if |B| >= 2)","One-one","Bijective","Onto","Option A","All inputs map to same output => not one-one.","Easy"
"A function f(x) is even if:","f(-x) = f(x)","f(-x) = -f(x)","f(x+T) = f(x)","f(1/x) = f(x)","Option A","Definition of even function: f(-x) = f(x).","Easy"
"A function f(x) is odd if:","f(-x) = -f(x)","f(-x) = f(x)","f(x+T) = f(x)","f(1/x) = -f(x)","Option A","Definition of odd function: f(-x) = -f(x).","Easy"
"The function f(x) = x^3 + sin(x) is:","Odd","Even","Neither even nor odd","Both even and odd","Option A","f(-x) = (-x)^3 + sin(-x) = -x^3 - sin(x) = -(x^3 + sin x) = -f(x).","Easy"
"The function f(x) = cos(x) + x^2 is:","Even","Odd","Neither even nor odd","Both even and odd","Option A","f(-x) = cos(-x) + (-x)^2 = cos(x) + x^2 = f(x).","Easy"
"The function f(x) = 2^x + 2^(-x) is:","Even","Odd","Neither even nor odd","Both even and odd","Option A","f(-x) = 2^(-x) + 2^x = f(x).","Easy"
"The function f(x) = 2^x - 2^(-x) is:","Odd","Even","Neither even nor odd","Both even and odd","Option A","f(-x) = 2^(-x) - 2^x = -(2^x - 2^(-x)) = -f(x).","Easy"
"The function f(x) = log((1-x)/(1+x)) is:","Odd","Even","Neither even nor odd","Both even and odd","Option A","f(-x) = log((1+x)/(1-x)) = log(((1-x)/(1+x))^-1) = -log((1-x)/(1+x)) = -f(x).","Hard"
"The period of the function f(x) = sin(2x) is:","pi","2 pi","pi/2","4 pi","Option A","Period of sin(ax) is 2pi / |a| = 2pi / 2 = pi.","Easy"
"The period of the function f(x) = cos(3x) is:","2pi / 3","pi / 3","2 pi","3 pi","Option A","Period of cos(ax) is 2pi / |a| = 2pi / 3.","Easy"
"The period of the function f(x) = tan(x) is:","pi","2 pi","pi/2","4 pi","Option A","Standard fundamental period of tan(x) is pi.","Easy"
"The period of the function f(x) = |sin(x)| is:","pi","2 pi","pi/2","4 pi","Option A","Modulus of sin(x) halves the period from 2pi to pi.","Medium"
"The period of the function f(x) = sin^2(x) is:","pi","2 pi","pi/2","4 pi","Option A","sin^2(x) = (1 - cos(2x))/2, whose period is 2pi/2 = pi.","Medium"
"If f(x) = 4x - 3, then f^(-1)(x) is:","(x + 3) / 4","(x - 3) / 4","4x + 3","1 / (4x - 3)","Option A","y = 4x - 3 => x = (y + 3)/4 => f^(-1)(x) = (x + 3)/4.","Easy"
"If f(x) = (2x + 1) / 3, then f^(-1)(x) is:","(3x - 1) / 2","(3x + 1) / 2","(2x - 1) / 3","3 / (2x + 1)","Option A","y = (2x + 1)/3 => 3y = 2x + 1 => x = (3y - 1)/2.","Easy"
"If f(x) = x^3 + 5, then f^(-1)(x) is:","(x - 5)^(1/3)","(x + 5)^(1/3)","x^3 - 5","1 / (x^3 + 5)","Option A","y = x^3 + 5 => x^3 = y - 5 => x = (y - 5)^(1/3).","Easy"
"If f(x) = e^x, then f^(-1)(x) is:","ln(x)","e^(-x)","1/e^x","log_10(x)","Option A","Inverse of exponential e^x is natural logarithm ln(x).","Easy"
"If f(x) = (x + 2) / (x - 2) for x != 2, then f^(-1)(x) is:","(2x + 2) / (x - 1)","(2x - 2) / (x + 1)","(x - 2) / (x + 2)","(x + 2) / (2 - x)","Option A","y = (x+2)/(x-2) => yx - 2y = x + 2 => x(y-1) = 2y + 2 => x = (2y+2)/(y-1).","Hard"
"The graph of y = f^(-1)(x) is the reflection of y = f(x) about the line:","y = x","y = -x","x = 0","y = 0","Option A","Inverse function graphs reflect across line y = x.","Easy"
"If f(x) = sin(x) for x in [-pi/2, pi/2], then f^(-1)(x) is:","sin^(-1)(x)","cosec(x)","1/sin(x)","cos(x)","Option A","Inverse of restricted sine is arcsin(x).","Easy"
"If a function f is bijective, then f o f^(-1) is equal to:","Identity function I","Zero function","f","f^2","Option A","(f o f^(-1))(x) = x for all x in codomain/domain, which is Identity function.","Easy"
"If f(x) = x^2 and g(x) = x + 1, then (f o g)(2) is:","9","5","8","6","Option A","g(2) = 2 + 1 = 3. Then f(g(2)) = f(3) = 3^2 = 9.","Easy"
"If f(x) = 2x and g(x) = x^2 + 1, then (g o f)(3) is:","37","13","19","49","Option A","f(3) = 2*3 = 6. Then g(f(3)) = g(6) = 6^2 + 1 = 37.","Easy"
"If f(x) = sin(x) and g(x) = x^2, then (f o g)(x) is:","sin(x^2)","sin^2(x)","x^2 sin(x)","2 sin(x)","Option A","(f o g)(x) = f(g(x)) = f(x^2) = sin(x^2).","Easy"
"If f(x) = sin(x) and g(x) = x^2, then (g o f)(x) is:","sin^2(x)","sin(x^2)","x^2 sin(x)","2 sin(x)","Option A","(g o f)(x) = g(f(x)) = g(sin x) = (sin x)^2 = sin^2(x).","Easy"
"If f(x) = x + 2 and g(x) = x - 2, then (f o g)(x) is:","x","x + 4","x - 4","x^2 - 4","Option A","(f o g)(x) = f(x - 2) = (x - 2) + 2 = x.","Easy"
"If f(x) = 2x + 3, then (f o f)(x) is:","4x + 9","4x + 6","2x + 6","4x^2 + 9","Option A","f(f(x)) = f(2x + 3) = 2(2x + 3) + 3 = 4x + 6 + 3 = 4x + 9.","Medium"
"If f(x) = x / sqrt(1 + x^2), then (f o f)(x) is:","x / sqrt(1 + 2x^2)","x / (1 + x^2)","x^2 / (1 + x^2)","2x / sqrt(1 + x^2)","Option A","f(f(x)) = (x/sqrt(1+x^2)) / sqrt(1 + x^2/(1+x^2)) = x / sqrt(1+2x^2).","Hard"
"If f(x + y) = f(x) f(y) for all x, y and f(1) = 2, then f(5) is:","32","10","25","64","Option A","Functional equation f(x+y)=f(x)f(y) implies f(x) = a^x. Since f(1)=2, a=2 => f(x)=2^x. f(5)=2^5=32.","Hard"
"If f(x + y) = f(x) + f(y) for all x, y and f(1) = 3, then f(10) is:","30","13","100","3^10","Option A","Functional equation f(x+y)=f(x)+f(y) implies f(x) = cx. f(1)=3 => c=3 => f(x)=3x. f(10)=30.","Medium"
"If f(x) = log(x), then f(xy) is equal to:","f(x) + f(y)","f(x) f(y)","f(x) - f(y)","f(x)/f(y)","Option A","Property of logarithm: log(xy) = log(x) + log(y) = f(x) + f(y).","Easy"
"If f(x) = e^x, then f(x + y) is equal to:","f(x) f(y)","f(x) + f(y)","f(x) - f(y)","f(x)^f(y)","Option A","Property of exponent: e^(x+y) = e^x * e^y = f(x) f(y).","Easy"
"If f(x) = 1 / x, then (f o f)(x) is equal to:","x (for x != 0)","1/x^2","1","x^2","Option A","f(f(x)) = f(1/x) = 1/(1/x) = x.","Easy"
"If f(x) = 1 - x, then (f o f)(x) is equal to:","x","1 - 2x","x - 1","x^2","Option A","f(f(x)) = f(1 - x) = 1 - (1 - x) = x.","Easy"
"If f(x) = (1 - x) / (1 + x), then (f o f)(x) is equal to:","x","-x","1/x","1","Option A","f(f(x)) = (1 - (1-x)/(1+x)) / (1 + (1-x)/(1+x)) = 2x / 2 = x.","Medium"
"If f(x) = |x - 1|, then f(x^2) is equal to:","|x^2 - 1|","|x - 1|^2","x^2 - 1","|x| - 1","Option A","Replace x with x^2 in f(x): f(x^2) = |x^2 - 1|.","Easy"
"The number of real solutions of the equation f(x) = x where f(x) = x^3 + x is:","1","3","2","0","Option A","x^3 + x = x => x^3 = 0 => x = 0 (only 1 real solution).","Medium"
"If f(x) = [x] and g(x) = |x|, then (f o g)(-2.7) is:","2","3","-2","-3","Option A","g(-2.7) = |-2.7| = 2.7. Then f(2.7) = [2.7] = 2.","Medium"
"If f(x) = [x] and g(x) = |x|, then (g o f)(-2.7) is:","3","2","-3","-2","Option A","f(-2.7) = [-2.7] = -3. Then g(-3) = |-3| = 3.","Medium"
"If f(x) = x^2 - 1 and g(x) = 2x + 1, the value of x for which (f o g)(x) = 0 is:","0 or -1","1 or -1","1/2 or -1/2","0 or 1","Option A","(f o g)(x) = (2x+1)^2 - 1 = 4x^2 + 4x = 4x(x+1) = 0 => x = 0 or x = -1.","Hard"
"If f(x) = sqrt(x) and g(x) = x^2, then the domain of (f o g)(x) is:","R","[0, infinity)","(0, infinity)","(-infinity, 0]","Option A","(f o g)(x) = f(g(x)) = sqrt(x^2) = |x|, which is defined for all real x in R.","Hard"
